	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0035714"	66.23	50.71	46.53	67.33	64.54	70.36	20.23	20.35	22.42	80.21	72.59	75.16	73.51	77.97	60.23
"FBgn0035715"	76.00	76.57	75.37	82.16	85.87	92.16	89.89	89.36	91.00	84.38	90.62	86.75	73.58	64.39	68.28
"FBgn0035718"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035719"	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035720"	70.17	94.27	105.50	94.85	93.63	96.31	103.37	83.67	97.99	52.18	53.56	54.18	58.73	81.59	93.48
"FBgn0035721"	133.60	110.43	90.15	131.04	124.38	129.37	156.58	185.43	159.16	149.11	156.75	146.28	90.58	98.10	65.83
"FBgn0035722"	77.80	63.59	56.55	85.17	80.19	85.37	59.18	69.64	64.84	88.98	94.07	88.74	84.42	93.69	62.88
"FBgn0035724"	0.03	0.00	0.08	0.07	0.04	0.05	0.06	0.06	0.03	0.06	0.06	0.08	0.00	0.09	0.00
"FBgn0035725"	24.55	22.77	18.39	28.14	25.09	28.95	0.94	0.22	0.74	20.47	21.05	18.64	21.60	39.28	18.93
"FBgn0035726"	164.20	158.62	162.46	192.20	186.22	201.53	199.85	164.95	177.61	185.37	168.50	173.05	141.19	112.00	138.38
"FBgn0035727"	0.11	0.61	0.37	0.25	0.15	0.09	0.00	0.00	0.11	0.19	0.31	0.65	0.29	0.62	0.00
"FBgn0035730"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00
"FBgn0035733"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035734"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035735"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035736"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035737"	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035741"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035742"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035743"	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035750"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035751"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.06	0.00	0.00	0.00	0.13
"FBgn0035753"	1284.65	1194.43	1097.90	960.49	988.50	1113.54	1420.36	1743.45	1614.11	1443.77	1675.01	1298.64	1701.31	1651.95	997.18
"FBgn0035754"	64.89	55.18	53.86	67.49	66.13	77.81	70.83	98.97	79.71	75.48	86.95	69.68	81.43	79.91	62.12
"FBgn0035755"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035756"	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035760"	46.47	41.90	34.79	38.54	38.64	45.58	31.30	31.84	32.95	50.70	51.57	44.93	57.33	54.70	40.91
"FBgn0035761"	41.55	42.32	42.44	57.34	56.74	55.06	73.55	67.16	68.65	42.75	44.71	48.45	42.65	40.86	43.20
"FBgn0035762"	3.91	4.62	4.07	7.18	6.10	6.67	0.19	0.06	0.09	2.54	2.73	3.42	2.47	3.04	3.34
"FBgn0035763"	70.43	71.77	75.10	84.25	78.77	85.01	99.73	79.27	92.15	66.36	66.71	66.78	63.91	51.32	80.83
