	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0305553"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070182"	133.69	128.29	118.63	153.53	144.78	162.81	4.44	2.63	3.42	97.63	103.46	106.39	111.51	151.17	118.30
"FBtr0071052"	61.63	60.97	56.74	74.20	70.85	73.23	23.40	19.65	23.66	55.00	51.46	58.20	60.09	69.44	67.86
"FBtr0071053"	0.32	0.12	0.00	0.36	0.11	0.12	0.15	0.00	0.00	0.52	0.14	0.00	0.00	0.30	0.09
"FBtr0329894"	61.63	60.97	56.74	74.20	70.85	73.23	23.40	19.65	23.66	55.00	51.46	58.20	60.09	69.44	67.86
"FBtr0300400"	0.00	0.00	0.07	0.13	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
"FBtr0300401"	13.12	14.78	20.00	16.77	15.21	16.62	3.39	0.92	1.84	11.65	12.61	12.29	10.62	17.69	18.23
"FBtr0300402"	25.94	28.59	27.73	30.26	34.00	30.00	4.13	3.34	4.63	20.10	16.20	20.40	28.34	28.57	30.37
"FBtr0300403"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300404"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0304948"	2.89	2.29	3.10	2.68	2.88	2.61	0.05	0.36	0.41	1.16	0.80	0.33	1.07	1.25	2.88
"FBtr0304950"	0.49	1.16	0.66	0.05	0.00	0.11	0.26	0.02	0.24	0.38	1.04	1.72	0.94	0.55	0.28
"FBtr0304951"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0304952"	0.00	0.09	0.10	0.23	0.21	0.14	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.04
"FBtr0304953"	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00
"FBtr0080149"	89.67	72.15	63.80	88.32	89.93	94.20	89.29	102.61	92.12	102.17	108.13	106.15	116.15	110.67	88.11
"FBtr0071358"	109.82	110.17	102.99	107.52	106.60	102.51	86.95	84.28	88.61	109.85	116.50	107.74	109.00	97.83	115.40
"FBtr0080956"	95.56	82.96	87.66	100.55	99.28	98.83	144.35	127.77	132.52	96.13	90.82	95.91	85.54	65.67	97.83
"FBtr0304931"	0.00	0.00	1.14	0.74	1.52	1.25	0.91	1.41	0.68	0.41	0.41	1.26	0.42	0.46	0.66
"FBtr0076267"	0.00	0.00	0.03	0.00	0.01	0.05	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
"FBtr0076268"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00
"FBtr0301658"	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081622"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081661"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081623"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072259"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.57
"FBtr0074796"	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074797"	0.31	0.38	0.00	0.00	0.33	0.00	0.00	0.48	0.62	0.28	0.30	0.54	0.71	0.30	0.52
"FBtr0088020"	0.98	0.32	0.34	0.84	0.98	0.82	1.38	1.13	1.50	0.99	0.57	1.46	0.09	0.00	0.00
"FBtr0078289"	8.85	14.88	18.26	9.40	10.51	8.36	3.53	1.63	3.12	5.48	6.42	5.01	7.65	8.76	13.00
"FBtr0078290"	0.00	0.34	0.26	0.00	0.25	0.11	0.00	0.06	0.07	0.13	0.13	0.36	0.00	0.20	0.00
"FBtr0111038"	1.70	0.00	0.00	2.06	0.92	1.38	0.08	0.70	0.70	2.09	0.00	1.95	0.86	2.03	0.66
"FBtr0301602"	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074286"	4.77	6.55	8.81	3.33	4.17	2.08	9.52	7.56	7.53	2.61	2.84	2.12	1.96	7.01	6.81
"FBtr0340151"	2.33	3.01	5.05	0.68	1.30	0.84	2.93	0.43	3.35	2.06	0.87	1.56	2.80	1.32	2.16
"FBtr0340152"	0.00	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340153"	6.45	10.76	11.87	4.82	5.98	3.29	6.94	4.74	8.18	3.60	4.01	4.99	5.42	5.57	9.12
"FBtr0073118"	10.63	18.66	18.74	9.31	9.69	6.84	28.56	20.08	24.02	10.19	7.64	8.16	8.19	7.61	14.93
"FBtr0073119"	6.71	5.96	10.17	4.35	5.98	5.58	10.90	4.75	9.18	3.17	3.08	4.51	4.06	3.45	5.54
"FBtr0073120"	0.19	0.00	0.55	0.19	0.13	0.00	0.20	0.40	0.56	0.00	0.36	0.32	0.36	0.00	0.13
"FBtr0306258"	1.17	0.16	0.00	0.48	1.18	1.69	0.24	0.51	0.54	0.00	0.00	0.00	0.71	0.00	0.15
"FBtr0333895"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0337055"	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.91
"FBtr0337056"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085689"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074455"	15.15	17.55	15.34	15.20	16.11	15.42	37.04	37.21	29.52	19.97	16.66	13.30	24.22	19.99	34.90
"FBtr0074456"	82.53	80.33	79.34	86.98	91.87	88.11	95.14	92.27	97.45	75.55	72.70	84.90	68.84	68.95	68.32
"FBtr0079369"	217.29	217.11	229.22	254.93	253.89	260.04	204.42	212.83	210.07	191.64	163.36	165.24	222.93	251.72	201.65
"FBtr0445670"	0.38	0.19	0.13	0.18	0.05	0.19	0.31	0.16	0.23	0.35	0.22	0.20	0.14	0.15	0.20
"FBtr0089092"	37.28	32.53	25.48	30.43	34.50	26.59	47.01	54.65	41.29	42.79	31.53	33.24	31.88	32.61	38.24
"FBtr0089094"	19.12	19.78	16.42	22.21	22.14	18.75	26.24	30.52	29.03	19.92	14.78	17.63	10.91	14.35	19.86
"FBtr0089095"	0.13	0.60	0.13	0.53	0.65	0.68	1.22	0.95	0.55	0.68	0.37	0.53	2.58	2.20	1.70
"FBtr0071303"	1.39	1.85	2.03	1.44	1.50	0.86	0.46	0.24	0.82	0.69	0.87	0.79	0.49	1.05	1.71
"FBtr0333473"	0.04	0.05	0.03	0.01	0.03	0.02	0.01	0.01	0.01	0.01	0.03	0.02	0.02	0.02	0.05
"FBtr0333474"	0.18	0.25	0.32	0.14	0.20	0.13	0.08	0.07	0.07	0.14	0.12	0.17	0.10	0.20	0.25
"FBtr0333475"	10.04	15.70	16.32	9.40	10.31	7.19	6.98	4.40	5.41	7.50	6.62	7.23	8.16	11.87	15.56
"FBtr0340341"	11.23	17.22	21.90	8.46	12.14	6.81	2.98	2.28	3.52	5.23	3.16	6.24	8.11	11.35	18.24
"FBtr0082668"	46.81	43.60	49.64	47.49	49.42	51.32	79.30	67.80	69.92	48.60	45.09	49.85	45.33	32.29	54.34
"FBtr0309846"	305.58	306.60	274.75	252.67	272.65	267.39	425.59	487.89	376.78	346.48	339.14	314.83	276.34	256.50	321.74
"FBtr0309847"	502.29	430.61	358.26	515.83	486.77	469.41	569.49	722.37	612.55	608.12	554.59	581.91	537.16	474.09	568.76
"FBtr0309848"	1.40	1.19	0.99	0.85	0.87	0.68	2.41	2.93	1.91	1.16	0.95	0.93	0.95	0.52	0.82
"FBtr0309849"	4.56	4.25	5.99	2.83	2.66	3.89	5.60	6.33	4.39	4.72	3.86	4.93	2.60	3.26	3.37
"FBtr0309850"	1.54	3.01	1.43	1.60	2.43	1.63	3.59	2.24	2.60	1.68	2.23	1.31	0.69	0.47	2.33
"FBtr0309851"	0.93	0.52	0.27	0.68	1.01	0.42	0.31	0.33	0.60	0.12	0.14	0.38	0.78	0.43	0.37
"FBtr0309852"	2.27	0.55	1.23	3.16	1.71	1.88	2.21	7.14	1.26	2.07	1.45	0.53	0.71	0.59	2.23
"FBtr0089767"	1.03	2.17	1.67	0.94	1.34	1.47	0.45	0.00	0.19	1.34	0.81	1.36	0.79	1.44	0.72
"FBtr0089768"	3.14	5.71	7.40	1.79	2.37	1.21	0.70	0.50	1.19	1.75	1.68	1.86	1.99	3.43	5.02
"FBtr0100317"	0.99	0.00	0.34	1.32	0.61	0.18	0.01	0.16	0.01	0.46	0.82	0.00	0.93	0.86	0.74
"FBtr0343991"	0.21	0.48	0.46	0.14	0.15	0.14	0.47	0.13	0.08	0.17	0.12	0.15	0.24	0.37	0.34
"FBtr0083572"	522.78	513.06	459.76	464.76	439.14	450.36	338.40	374.57	372.45	516.23	551.98	556.73	502.17	529.36	467.24
"FBtr0083573"	6.82	9.91	10.17	9.54	10.85	8.85	6.94	3.54	6.79	7.24	8.38	10.19	10.27	11.89	14.36
"FBtr0343927"	28.53	30.32	30.79	30.18	29.96	28.08	15.53	16.49	14.86	29.09	31.38	31.85	30.49	34.63	29.55
"FBtr0076685"	184.55	218.57	247.62	193.60	211.31	190.73	115.11	77.84	107.93	169.26	143.25	167.16	155.27	137.64	207.58
"FBtr0081476"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00
"FBtr0110895"	0.00	0.04	0.04	0.07	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.04
"FBtr0084556"	1.34	2.19	2.06	2.95	2.00	3.05	3.82	2.97	2.07	3.29	1.42	1.97	1.41	2.04	3.05
"FBtr0084557"	4.74	4.01	3.11	3.65	6.29	5.06	3.77	3.70	4.33	3.05	4.50	3.66	3.96	4.62	3.78
"FBtr0084558"	0.76	0.36	1.01	0.42	0.37	0.55	0.67	1.01	1.40	0.56	0.44	0.70	0.37	1.35	0.42
"FBtr0084559"	202.60	184.14	144.43	183.52	187.60	190.02	230.80	281.06	247.22	225.94	225.41	230.16	200.18	209.98	193.55
"FBtr0073144"	24.54	29.06	34.71	23.29	24.03	22.67	15.76	12.66	17.59	16.41	16.38	18.84	19.67	21.65	33.09
"FBtr0309836"	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0309837"	0.28	1.14	0.00	0.18	0.00	0.00	0.00	0.27	0.28	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0309838"	0.00	0.00	0.22	0.18	0.15	0.17	0.42	0.15	0.00	0.21	0.45	0.20	0.20	0.86	0.88
"FBtr0309839"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071860"	152.25	119.87	112.47	133.00	124.52	133.35	64.97	62.17	60.72	160.35	154.29	159.39	160.42	174.65	123.43
"FBtr0089110"	46.26	61.98	55.35	36.56	43.79	33.84	79.83	66.10	68.83	35.48	26.41	35.17	27.37	29.88	52.34
"FBtr0076745"	2.21	3.09	1.32	2.36	3.14	2.65	0.00	0.14	0.16	1.49	1.25	2.10	3.07	4.11	3.09
"FBtr0302329"	79.38	79.39	66.60	84.59	77.29	81.82	2.38	1.92	3.14	61.88	66.68	73.63	83.67	102.22	89.63
"FBtr0073468"	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089549"	14.46	12.61	13.30	21.94	21.31	21.22	0.99	1.20	1.21	12.22	12.39	13.34	11.04	15.79	13.58
"FBtr0074451"	9.86	17.53	23.26	11.89	13.93	12.77	10.56	8.35	11.30	6.90	7.21	8.38	8.24	11.34	18.20
"FBtr0301696"	10.14	10.59	10.70	8.83	9.08	7.33	8.63	6.37	7.93	7.69	6.48	7.29	9.27	8.50	9.53
"FBtr0333757"	0.29	0.38	1.36	0.25	0.19	0.24	0.13	0.30	0.27	0.11	0.30	0.31	0.00	0.00	0.62
"FBtr0340620"	0.34	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.42
"FBtr0340621"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0082375"	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00
"FBtr0082374"	4.39	4.07	3.65	8.08	8.38	7.60	3.97	3.75	4.96	4.49	5.76	5.47	8.25	7.33	7.13
"FBtr0089553"	236.75	210.89	191.22	253.26	236.01	244.21	251.87	303.07	275.36	281.33	284.81	285.72	285.21	248.45	238.40
"FBtr0084546"	36.24	43.65	53.76	34.08	38.56	34.20	70.27	53.10	67.59	32.62	28.82	32.91	35.49	27.62	45.82
"FBtr0077429"	0.00	0.00	0.00	0.27	0.09	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.02
"FBtr0334401"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075620"	0.79	1.57	0.69	2.37	3.47	10.68	3.42	4.38	3.30	2.09	1.02	1.91	3.95	1.45	1.99
"FBtr0077319"	23.70	30.39	35.85	27.19	29.47	27.25	49.50	35.81	44.83	24.20	22.47	23.26	21.75	18.03	32.70
"FBtr0340404"	0.00	0.00	0.00	0.00	0.00	0.68	0.18	0.75	0.00	0.18	0.30	0.00	1.96	0.41	1.40
"FBtr0077735"	220.74	161.20	150.40	160.01	151.79	160.78	201.40	279.95	232.32	198.45	261.72	209.65	199.30	212.10	140.80
"FBtr0088599"	47.91	50.04	54.26	51.14	51.58	51.96	82.37	64.41	73.92	45.52	40.51	44.24	43.17	30.81	56.68
"FBtr0088876"	10.19	10.64	8.89	15.25	17.05	21.85	26.14	20.69	18.83	16.56	11.83	14.92	14.20	8.33	16.46
"FBtr0088877"	21.42	19.26	21.94	27.84	25.52	27.74	29.90	31.44	33.48	24.95	27.46	22.67	22.54	21.84	23.69
"FBtr0071641"	14.08	16.32	20.14	13.47	15.63	13.85	4.40	2.86	4.49	10.14	9.51	11.59	11.10	13.89	17.68
"FBtr0087383"	25.18	32.66	38.54	34.08	36.12	34.13	17.00	10.72	16.70	18.51	17.79	20.75	22.04	24.25	37.11
"FBtr0087384"	0.82	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.00	0.00
"FBtr0087385"	7.39	7.85	8.67	9.17	9.40	9.65	3.07	2.88	3.52	8.53	7.05	8.62	7.69	8.33	8.09
"FBtr0330628"	25.18	32.66	38.54	34.08	36.12	34.13	17.00	10.72	16.70	18.51	17.79	20.75	22.04	24.25	37.11
"FBtr0078387"	26.84	26.97	27.00	26.65	28.98	28.44	24.88	22.20	23.42	26.54	24.66	25.91	23.04	17.77	29.02
"FBtr0072805"	1648.49	1516.41	1445.18	1324.03	1265.68	1451.96	1756.54	2111.24	1980.09	1899.40	2129.44	1866.43	2370.70	2149.60	1296.66
"FBtr0080544"	124.22	101.95	96.30	128.13	122.70	134.81	136.61	170.04	140.29	140.56	167.15	153.82	144.77	134.56	122.72
"FBtr0074095"	0.05	0.53	0.24	0.69	0.59	0.61	0.91	0.75	1.14	0.54	0.39	0.45	0.73	0.85	0.81
"FBtr0074096"	0.36	0.00	0.00	0.17	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.26	0.17	0.00	0.21
"FBtr0074481"	7.39	14.01	22.92	3.79	5.89	1.71	26.53	14.63	24.87	4.13	3.07	3.28	5.36	6.77	15.76
"FBtr0074482"	1.36	1.49	2.07	0.24	0.67	0.34	2.97	1.17	2.87	0.56	0.42	0.66	1.04	0.36	1.67
"FBtr0074483"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.34	0.00	0.00	0.00	0.00
"FBtr0333659"	2.82	6.83	8.37	1.95	1.70	1.12	7.91	3.37	5.16	3.74	3.12	3.42	2.63	4.83	4.97
"FBtr0333660"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.74	0.00	0.00	0.00	0.00	0.00	0.27	0.00
"FBtr0333661"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0333662"	1.33	2.00	1.42	0.85	1.21	1.64	4.83	4.28	6.37	1.09	0.91	1.72	1.13	0.61	1.62
"FBtr0075793"	7.16	9.62	12.15	6.58	7.32	6.33	10.47	8.03	9.47	5.59	5.05	5.67	4.56	4.78	7.99
"FBtr0075794"	1.42	0.87	1.65	0.23	0.43	0.46	0.00	0.00	1.17	0.83	0.00	0.00	2.33	1.01	2.22
"FBtr0075795"	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.50	0.00	0.00	0.00	0.00	0.00	1.77	0.00
"FBtr0075796"	1.01	1.36	0.00	0.01	1.11	0.66	1.60	0.33	1.35	0.00	0.48	1.08	0.83	0.64	1.37
"FBtr0330186"	7.16	9.62	12.15	6.58	7.32	6.33	10.47	8.03	9.47	5.59	5.05	5.67	4.56	4.78	7.99
"FBtr0086462"	35.73	32.95	32.49	37.09	37.51	38.26	47.13	41.36	41.24	40.02	40.20	40.66	34.43	24.77	33.17
"FBtr0089900"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089901"	0.00	0.00	0.44	2.73	0.00	0.00	2.53	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.00
"FBtr0089902"	1.28	1.84	1.35	1.35	1.35	1.92	1.70	1.85	0.98	2.18	1.39	2.45	3.78	1.84	2.81
"FBtr0089904"	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	2.37	0.00	0.00	0.00	0.00	0.00
"FBtr0089905"	15.36	17.20	12.84	16.77	17.30	14.93	15.91	24.28	19.78	17.20	16.06	20.93	17.35	19.02	17.29
"FBtr0300562"	46.68	45.12	35.48	42.92	42.16	38.65	50.77	52.74	47.11	36.50	37.14	47.54	43.22	47.67	52.67
"FBtr0301521"	8.77	6.59	10.34	12.37	12.32	9.52	12.08	15.68	13.31	19.49	4.29	15.01	13.47	11.76	14.21
"FBtr0082010"	607.70	539.23	491.74	532.42	536.06	580.20	787.21	924.27	848.48	657.19	731.79	745.59	701.33	637.79	539.28
"FBtr0072023"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088166"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088111"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088330"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088331"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089051"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080280"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080279"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080278"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088887"	2.72	5.02	6.01	4.26	4.56	3.94	6.56	4.40	5.37	4.83	4.50	3.73	2.81	1.84	4.01
"FBtr0289965"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077698"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077826"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077874"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077873"	0.06	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0310300"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085320"	157.75	140.24	138.20	179.04	176.93	175.64	191.95	235.31	215.21	168.83	179.83	175.53	173.89	187.79	150.64
"FBtr0111118"	1.43	3.00	5.09	2.11	3.91	3.69	5.68	4.75	0.22	2.46	1.96	1.04	1.72	0.01	3.21
"FBtr0111119"	11.49	19.70	10.52	9.59	12.36	4.62	27.70	28.18	26.92	5.32	6.03	9.23	9.46	10.70	21.69
"FBtr0301454"	2.98	6.09	5.60	4.90	4.47	4.76	7.45	7.85	5.41	3.35	4.23	5.34	3.38	1.34	10.92
"FBtr0301455"	4.18	2.43	2.06	0.61	1.47	4.60	3.63	3.20	1.26	7.82	0.01	0.00	4.15	5.07	4.92
"FBtr0301456"	16.21	21.04	15.62	15.15	17.23	9.18	31.83	32.02	34.26	7.81	10.42	11.85	8.16	21.32	25.32
"FBtr0334994"	0.90	2.56	3.49	2.03	3.14	1.08	3.48	2.91	5.31	1.07	0.87	1.65	1.06	1.80	4.89
"FBtr0087058"	61.34	58.37	45.45	63.10	62.23	65.91	4.51	2.75	4.11	60.69	59.26	63.12	73.96	86.45	60.22
"FBtr0088349"	0.02	0.01	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339459"	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076347"	98.92	95.61	96.59	99.01	103.16	95.83	151.94	146.29	137.11	107.77	103.46	112.34	93.86	74.36	106.81
"FBtr0075718"	360.41	369.07	410.47	403.26	395.91	446.74	364.36	356.61	384.23	327.59	352.16	336.06	339.18	334.80	291.21
"FBtr0075719"	3.90	2.09	2.59	3.25	2.62	2.81	1.90	1.94	1.51	0.64	1.15	2.19	1.62	1.07	1.23
"FBtr0308595"	0.36	0.00	0.59	0.00	0.24	0.00	0.35	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.23
"FBtr0071279"	0.00	0.00	0.00	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.06	0.00	0.02	0.00
"FBtr0331732"	0.03	0.00	0.00	0.00	0.02	0.02	0.00	0.03	0.03	0.00	0.00	0.00	0.02	0.00	0.00
"FBtr0071393"	241.35	223.66	229.83	302.97	307.60	325.67	372.96	323.68	372.99	270.58	278.41	283.85	273.15	162.46	281.19
"FBtr0071394"	6.24	4.86	3.99	4.87	3.31	5.41	4.27	3.77	6.51	3.79	5.28	4.92	2.99	2.07	3.61
"FBtr0343030"	6.41	6.64	5.24	6.56	9.26	10.11	13.85	11.07	10.42	5.84	7.94	6.85	10.38	7.72	11.54
"FBtr0078876"	29.01	21.58	17.80	21.83	21.31	22.45	34.03	40.12	34.44	41.24	33.26	30.25	37.36	33.35	27.51
"FBtr0334904"	0.00	0.00	0.40	0.00	0.18	0.22	0.25	0.99	0.00	0.42	0.22	0.20	0.45	0.00	0.00
"FBtr0075771"	18.16	16.43	20.39	8.01	23.29	22.11	10.42	3.00	13.40	23.16	12.33	19.97	37.37	51.51	36.02
"FBtr0075772"	71.62	51.25	47.75	86.01	67.04	28.90	51.03	19.23	23.29	13.48	0.01	20.70	61.97	50.38	112.30
"FBtr0075773"	1.47	1.29	1.89	1.33	0.00	1.59	0.00	0.67	0.00	0.00	0.30	0.00	0.99	1.02	3.28
"FBtr0304034"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0304035"	42.44	84.60	88.40	73.11	79.92	117.23	14.58	28.92	32.72	79.62	83.92	76.85	27.27	43.89	5.68
"FBtr0304036"	0.10	3.02	0.69	0.12	0.00	0.28	0.00	0.00	0.00	0.00	1.24	0.01	1.04	0.04	2.65
"FBtr0304037"	18.59	18.45	25.12	22.07	26.53	25.40	11.05	11.51	11.37	15.19	12.06	14.19	16.44	23.06	18.57
"FBtr0333051"	5.16	1.66	3.63	3.44	4.43	3.58	1.99	2.42	5.17	3.36	3.63	3.31	2.25	3.45	4.48
"FBtr0087501"	2.90	7.42	9.61	1.19	2.43	0.80	5.25	3.39	4.79	0.87	0.68	0.97	1.14	2.88	6.60
"FBtr0087502"	9.95	17.22	18.67	9.57	11.70	9.84	8.69	6.50	7.52	6.20	6.41	7.46	7.75	8.90	16.21
"FBtr0074008"	4.26	5.43	5.57	2.14	2.67	1.25	1.19	0.79	1.64	2.89	2.53	3.71	4.16	4.90	6.78
"FBtr0074009"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074010"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301774"	6.01	6.49	6.52	3.68	3.86	3.75	4.19	3.65	4.29	4.00	4.06	5.25	6.39	6.97	4.90
"FBtr0307383"	1.70	3.03	4.99	2.19	2.82	3.12	0.93	0.42	0.00	2.88	3.56	2.05	2.20	6.20	3.17
"FBtr0307384"	0.06	0.11	0.47	0.05	0.14	0.09	0.00	0.04	0.04	0.06	0.06	0.34	0.12	0.00	0.22
"FBtr0330405"	4.26	5.43	5.57	2.14	2.67	1.25	1.19	0.79	1.64	2.89	2.53	3.71	4.16	4.90	6.78
"FBtr0074775"	0.00	1.53	1.53	0.73	0.64	1.13	0.00	0.00	0.00	0.56	0.81	2.12	0.63	1.39	2.11
"FBtr0074776"	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.20	0.00	0.00	0.00	0.00
"FBtr0074777"	36.28	40.38	47.22	55.03	55.13	56.37	2.39	0.81	1.09	27.61	23.83	30.37	31.54	41.83	43.20
